"Agriculture, value added (% of GDP)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,1584792272","46,0138430802","41,5941033319","39,4804162469","32,5890584416","34,4948326753","28,134487843","31,17755035","29,9153234781",
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,"33,6002062235","32,4002985674","31,6997106383","34,1000975323","33,0999407246","34,6000124","34,0000001178","33,2000247854","31,4998818438","32,3001974877","35,9007902152","39,2952952243","51,6418702419","54,6409764833","53,6209806158","55,8121447108","33,0256098918","33,6221470363","32,6027193688","29,5091852365","29,1305832106","26,9539376162","26,3116220197","23,9962071327","23,4999989303","22,8",22,"21,1172557562","20,3046552468","20,4019354313","20,1600290356","20,045320457"
Algeria,,,,,"12,8762134201","9,1372556113","10,3306656921","10,853373641","9,0301648527","9,2054658309","9,5691751143","8,4208456057","7,0397601732","7,3666291397","10,4184082153","9,92688073","8,4701406946","8,8056214815","9,0166285928","8,5092343722","9,2351276908","8,3897865606","7,7461504863","7,530864287","8,9958940925","10,1794217498","12,8746598339","12,1676564372","13,0390151163","11,3582674372","10,1670579981","12,1268464113","12,0970728913","10,0584369056","10,4978179651","11,7666985635","9,4823201571","12,5332813631","12,2010788354","8,8798835558","10,4075598445","10,0035980733","10,4912370337","10,1884934842","8,2216567713","7,9887885394","8,0253455959","6,9200995034","6,9155706406","6,9155706406",
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,"13,5487072819","14,3884051598","12,8572271282","15,9170051288","19,1493044549","17,9380112938","24,0260371469","10,1380745224","11,5577360143","6,6460360247","7,3122786553","7,0268691659","9,0020179417","13,0337582808","6,2902568284","5,6646895635","8,1563770225","7,8531700766","8,3305549945","8,6266829009","8,4899938163","7,6645111088","7,8602724692","6,642216007","10,2020847987","9,8421844999","10,058887538"
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,"10,9633923508","10,2731993678","8,2317774201","7,1167457416","6,7731011127","6,2117676736","6,1217036928","4,7837404301","4,9391399053","4,4574449452","4,5191281877","4,1834459776","3,9900746326","4,1775776834","4,156458402","4,2307336069","4,0953508911","3,7258175905","3,8795334523","3,853373292","4,1068199743","3,9669070853","3,9449969962","1,8465481362","1,8505796387","1,9535228687","1,9862411898","1,8721828004","2,0243783304","1,9100260569","1,9390819766","1,8383719749","1,7711812705","2,0007805793",
Argentina,,,,,"12,9041629859","10,2785862888","9,9803863211","9,7212769884","9,1858927271","9,6375609642","10,8659477491","10,9848698709","11,9525477984","10,2308377482","6,5839104919","8,1521707122","8,0871421141","7,5044274779","7,796277359","6,3535050048","6,4755229606","9,5961560462","8,6583249612","8,3459768371","7,6343072573","7,8004026402","8,0943584644","8,9778682178","9,6160650964","8,1236762079","6,7164917692","5,9907870997","5,4920248065","5,440196477","5,6981120499","5,9974352072","5,5999454441","5,6176118783","4,735356491","4,9712212501","4,814449914","10,6830209761","10,9868321491","10,4129160523","9,4010292271","8,3929566395","9,394874713","9,8371957527","7,5037404621","10,0034711221","9,0920574167"
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,3762697212","24,9734607219","31,0427206296","51,3655909174","44,8709973041","42,2553129522","36,8259627223","31,9686774328","33,9957279657","29,4640212815","25,5478701562","28,3281547064","25,9618988244","23,6820980482","24,6622000033","20,8925173798","20,4510979087","20,2820602192","18,3981208907","18,9138922966","19,5778417131","20,6593762525"
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,"7,0337417591","8,5501159118","9,5909003002","7,2317298406","6,3160597846","6,1525998285","5,4546720388","7,758435544","7,8771866369","6,6925998057","6,100922656","4,4358019789","6,1332140171","5,6738430387","5,0912447332","4,9582460964","5,2084206763","5,3646897725","4,9239550989","3,6314609141","3,52036822","3,71007115","3,7994832627","3,4167333822","3,8194766144","3,6667665568","3,4367792899","3,4502210785","3,5128038985","3,9686494524","4,4387946484","3,270656072","3,4801233699","3,2650369467","3,0921472726","2,367258175","2,4365760175","2,3654728514","2,2840588422",
Austria,,,,,,,,,,"7,8309305408","6,8503028937","6,735601934","7,2508333656","6,673793376","6,2505589756","6,1794208665","5,3426088056","5,3200156985","5,2378505582","5,299017394","4,8674271783","4,415239259","4,1377348611","4,3816390428","3,8378821532","3,9384113213","3,8974128104","3,7503997227","3,6810551627","3,7103470472","3,4458439926","3,016315867","2,7016912427","2,8693892327","2,6257726772","2,3634207728","2,3304174072","2,1802471342","2,1075254007","2,0262863738","2,0437417418","1,9352554501","1,8502122845","1,8539353634","1,6057552343","1,6354788701","1,7461604233","1,7122010534","1,5281358772","1,5314114127",
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,0356315829","32,3084857381","28,5049040744","28,4886211513","32,9921939736","27,2884283247","27,5296626031","21,7345815355","18,9289633389","19,156071596","17,1433734668","16,1030135465","15,1716766675","13,4615148056","11,8426705077","9,8954733932","7,5009183589","7,0021857057","5,9708507127","6,6480440113","5,7530123603","5,7582722975"
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,"2,3333892481","2,1907216495","2,0840116295","2,0852602932",,"2,3439131402","2,5512106593","3,3189075561","3,1444742207","2,8380037351","3,157496342","3,3447448549","3,1280555412","3,3748748126","2,9927213093","2,6667277105","2,8502929933","2,6201224443","3,1238891531","2,7654737002","2,3427881619","2,1941453114","2,451847517","2,3267347327","2,2931876375","2,0773010884","2,2120974163","2,179118682"
Bahrain,,,,,,,,,,,,,,,,,,,,"0,9843709796","1,0123475478","1,0577764809","1,1535175164","1,1167851793","1,1943769294","1,3687189543","1,3425072024","1,1804645053","1,1351390264","0,9493460765","0,8821411697","0,9098978952","0,8513808251","0,8603441029","0,8629466469",,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,"31,5543184035","31,7011747079","31,1742255744","30,6863045103","32,293488013","32,768311146","31,9387971216","32,425873508","31,0515740807","30,3559102302","30,2509679373","30,3652011946","29,3847879199","26,2515271256","25,6284898987","26,3843184838","25,6760118266","25,7814239331","25,447667873","26,1774434813","25,5140861417","24,0968950103","22,7304171554","21,7532925637","21,036075841","20,1420328875","19,6128139722","19,2434650141","19,0106989795","18,7284473796","18,5878157382","18,4309558636"
