Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"4,4534433223","4,8780512806","9,171601205","8,8888926499","11,2582790289","8,5714287804","6,7729083611","8,8996765684","10,0946369794","9,7840023354","10,9223422347","14,7632312216","12,9487181305","14,0206189267","12,6760568522","13,2173912457","11,6629042951","10,8417503145",,,,,,,,,,,,,,,,,,,,,,,,"32,4385011176","42,2955003336","32,9311702547","30,5509882397","27,6401775366","22,9261312064","26,6761197514","22,860093255","20,124518659","18,1061418855"
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,"23,1155875762","22,9826425851","19,3750003868","18,1966039619","17,4130826512","16,2355453284","15,057504754","15,4662972044","16,3822901223","17,9401528156","14,8694465448","7,2245794836","11,4904380116","15,4225232811","11,3516873581","12,4753742451","12,3165165588","10,4719006529","10,7614028508","17,2870502783","19,1355354399","20,5198161786","20,4193072891","20,6193990203","21,5421184016","22,2730689607","25,0905262813","28,7771692659","29,511317565","28,4115487904","32,4274705354","33,8009322643"
Algeria,"46,2445571347","19,7938722711","24,6846823239","25,0840585746","22,6039435446","25,9861974624","23,4344167518","23,135634652","23,7887768786","22,0727335875","18,4425191364","20,4495619886","25,5036630308","38,7490436244","33,6889361447","33,0545838928","30,5865669191","25,5358367607","31,1483001729","34,3384614749","34,5872507486","30,9248563125","27,9418060931","25,7100161832","23,5839328707","12,85475735","14,272474728","15,5078678824","18,6392633401","23,4436850853","29,1178221684","25,319594282","21,7838769974","22,5307252451","26,1947759782","29,7604483254","30,9063113796","22,5783540099","26,8088741028","41,1753530091","36,2479913757","35,0761498273","38,2664698375","40,0718849697","47,646352847","48,6078477444","46,6094940543","46,2736575206","29,289305251","30,8304054739",
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,"35,7197351752","38,5450683769","32,5934912786","33,0219268467","33,8730633353","38,9125210094","30,2632793122","68,7913335124","53,9013848014","85,3577125583",,"82,7222553056","68,4919360709","56,7231367221","86,2964933434","89,6262058176","75,3865300836","74,9538387937","69,5699781258","69,686683066","86,0175376537","79,8372778652","76,397483771","78,0985229539","55,0552754454","62,4131057503","64,9769748627"
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,"47,7014390503","61,6001187472","81,7867898012","67,3026448617","73,2242260723","67,8229089989","61,3488606878","74,743852459","75,1408157308","84,1140474756","79,5961152195","78,7354527163","81,0035809758","88,9523665393","90,0798646958","96,1071850091","96,2211521028","58,8043607062","85,2956562022","75,6656874311","76,4486474491","75,1406740365","72,5363636364","62,8979812529","60,316271331","55,7888114687","57,5884002073","58,9951364596","54,4196793561","48,0253205023","44,8558946514","46,1657395697","46,2513058031","45,4023420626","48,0119279887"
Argentina,"5,9949469771","4,6918427451","7,8904542188","5,5637156162","6,2258744436","6,6529173849","7,4955962207","6,4844534582","6,3987133161","5,6015666755","6,0072328808","7,1977658383","7,6126677212","6,9025707973","5,8240517988","9,1753882967","9,6158924128","8,6083899381","6,5109154667","5,061972681","6,9210494804","9,0904930786","9,1515206868","7,5898953118","11,7360980207","8,1619775443","7,8732058134","9,5316129729","13,0584089086","10,3595365925","7,6750433243","6,5981874643","6,9093516416","7,52183176","9,6488075826","10,3991271471","10,5286544022","10,3850041871","9,7879884636","10,8854651277","11,5286111308","27,6896757156","24,9711946895","25,2574666424","25,0679326767","24,7594468282","24,6265468942","24,4754130829","21,3511739142","21,7064687769","21,8234278163"
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,0029815146","40,74538838","39,8207529671","47,218977187","39,3280401333","23,9279214541","23,240002799","20,2732698898","19,0030205066","20,758259915","23,3752785095","25,4683909063","29,3565510388","32,1526450093","29,7348288898","28,8092203202","23,3589858677","19,1856439468","15,0471034975","15,474468679","20,5836109034","23,477361628"
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,76873802","115,559444289","111,6039158625","108,9237576941","102,0304568528","125,5870432084","112,5820539714","69,9429715117",,,,,,,,,,,,,
Australia,"12,4031007752","13,9524399865","13,0099515448","14,939656798","13,2196069963","12,9387587341","12,8894296354","12,2989333608","11,9559565683","12,9728116351","12,6575057049","12,8263362641","14,1507537688","13,1450181625","14,2816980602","13,5182537871","14,0211530054","13,6280435487","14,3078791149","16,4283430373","14,8883798171","13,5264765958","13,5852506315","13,5525823353","15,2242786644","15,0129916054","15,5016389768","15,9524322992","15,1236923812","15,1135928447","16,0178534907","16,6541484799","17,5290271925","17,9331853126","17,8442218748","18,858609981","19,1115691351","19,5664678584","18,3157850702","19,3960458403","22,067633807","20,6333416341","18,9150854464","17,0427243228","18,1132784377","19,6967640829","20,0168965708","19,8829200926","22,7253561281","19,6200652554","21,2884821705"
