"Foreign direct investment, net inflows (% of GDP)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,"0,0131512244","0,0245752714","0,0094011147","0,0155769237",,,"0,0015652174","-0,0081264106",,"0,0324504964","0,2471357348","0,005174216",,,,,,,,,,,,,,,,,,,,"0,0276235652","1,1523637942","1,2127246443","3,2765315583","3,976666167","3,0821303545","2,5032517237","2,5125005","1,3015638725","0,4387258944",
Albania,,,,,,,,,,,,,,,,,,,,,,,"2,8190749841","4,7228538279","2,6691202081","2,8871944827","2,9901588404","2,1628033475","1,6500806536","1,1996264433","3,8788608568","5,0671956472","3,0341350608","3,1497905392","4,5721419795","3,1335226184","3,5615230968","6,1868377698","7,3908900587","8,0086376325","9,4141233873",
Algeria,"1,6473775055","0,0118174853","0,61359524","0,5851908083","2,7101268523","0,7648830261","1,0548077911","0,8509130682","0,5126295397","0,0772859261","0,8233953553","0,0297805078","-0,1184973239","0,000855798","0,0014947758","0,0006865774","0,0083466832","0,0055610005","0,0220315974","0,0217352567","0,0005397921","0,0254590238","0,062495707",,,,"0,5751840509","0,5396669545","1,258825367","0,5994990172","0,5112241259","2,0077566424","1,8666840904","0,9316568464","1,0373592272","1,0562922664","1,5328244561","1,2238265661","1,5176390926","1,9982631054","1,414500815",
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,"4,0856648926","3,6816480913","1,6117843587","1,6425850187","2,1544632573","-3,2630963982","5,4495145787","4,9824598472","5,71552893","4,1950181978","9,3744169046","2,3989939671","5,3633598872","17,2837359195","40,1570869489","9,6243032266","24,0092259075","14,6267604703","25,112026402","7,3285247717","-4,2564030951","-0,0835078709","-1,4777809599","1,9945363253","2,9212071916","-3,7995346255",
Antigua and Barbuda,,,,,,,,"3,3260541491","-9,2177528717","9,2150172276","17,8073897754","17,9973230018","16,6724832682","3,2622090512","2,5358607005","7,7280148813","9,1908665318","13,4728760718","9,7290265037","11,5444509674","15,4780374267","13,3513827178","4,6365893701","3,3383362074","4,9568966393","6,3711308898","3,5765623387","3,9569495631","3,6730184733","7,9454455949","5,3725222963","12,3998815019","8,0010690082","19,1920714973","8,6996708269","21,5949779129","30,8641494152","25,6626189867","12,6401295141","6,4352727193","7,9812798086",
Argentina,"0,2842242974","0,3774644775","0,2064895025","0,1907924783","0,0247388145","0,1060095983","0,4781754766","0,2536059593","0,4304195012","0,2974629202","0,8809551101","1,0638454402","0,269252481","0,1779203589","0,3388458924","1,0393967692","0,5174227099","-0,0171007572","0,9088257081","1,341390409","1,2988816648","1,2855788176","1,936790575","1,1797437678","1,411953265","2,1739265101","2,5532033315","3,1278791328","2,4387680459","8,4605814895","3,6657906562","0,806164239","2,105941749","1,2747275682","2,693609323","2,8741481642","2,5867414813","2,4823339302","2,9771210493","1,3081694612","1,9133114147",
Armenia,,,,,,,,,,,,,,,,,,,,,,,"0,1885936188","0,0665937911","0,6082916214","1,7244228572","1,1002092686","3,1680536749","11,6611351906","6,6129058966","5,4505116354","3,2980674174","4,6600625646","4,3060054493","6,9298885944","4,8849668886","7,0980549406","7,5906901742","8,0212050117","8,9904854526","6,0831140102",
Aruba,,,,,,,,,,,,,,,,,,,,,,"21,1851381499","-3,8578087757","-1,655492432","-5,8744389997","-0,418781717","6,1214570424","12,7899334852","5,0184501854","26,8741887924","-6,8860832797","-14,1100317965","13,6714410639",,,,,,,,,
